filename,label,jaw_angle,cheek_hollowness,eyebrow_position,mouth_openness,eye_openness,eyelid_shape,mouth_width,left_eyebrow_position,right_eyebrow_position,eyebrow_asymmetry,head_pitch,head_yaw,head_roll
12.jpg,1,68.70258968432827,0.5714228321186272,0.15959938476557733,0.009507251025162942,0.05240940171472577,3.776509036751307,0.8525588867766912,0.15833759318876617,0.1118746632963623,1.3910349334491328,-96.42388297602218,-6.130611757982293,-6.045521220293579
13.jpg,1,68.94179541577552,0.5606488981859257,0.16103443635593678,0.013162089758787118,0.043106341539951916,4.584624787138273,0.8821281385832778,0.1579702551142982,0.112799764693892,1.3955442571029184,-97.07286606301918,-7.0619224290593285,-6.743676186032455
14.jpg,1,69.06649801574409,0.5610410145752698,0.17779042976429,0.013011777040929415,0.03755700838065938,5.449317991518374,0.8745746025864913,0.1792686495033726,0.11537550470486979,1.4234041859184166,-97.64894723623186,-7.290538390588365,-6.608827807400987
15.jpg,1,68.63101004915177,0.5578789849898251,0.17716928687581562,0.01235083516452854,0.03933993391349644,5.147576879485839,0.8711306354384826,0.17861621445108963,0.11466454987863402,1.4221434970421012,-98.13105158369498,-7.409687228528835,-6.849666491420343
16.jpg,1,68.53170355760378,0.5596815375065509,0.1734375847825757,0.010659189062558062,0.04624313623059177,4.348518941397694,0.8709186259299065,0.17299412919107376,0.11438483790048518,1.407560098061973,-98.28819844223332,-7.389706353632152,-6.92838126114927
17.jpg,1,68.80129975308574,0.5566379936395448,0.1752860925615676,0.0150039366982273,0.04140151117392862,4.87800555013212,0.8920991835119616,0.1716899350107807,0.1146374374285196,1.411148111256158,-98.1997707408738,-7.570893439535293,-7.242686366118355
18.jpg,1,69.27130918423114,0.5600940985487839,0.17221468171283422,0.01329918546994054,0.04067619206199642,5.0437407400367515,0.8896946436246477,0.17346390840949205,0.11624096230162491,1.4152089112575803,-98.54333089046882,-8.132441396570725,-8.224719287595844
19.jpg,1,69.29041487529123,0.5596990260191732,0.16939261986755416,0.010685556479530343,0.041785702073579595,4.900875723580603,0.904524205260473,0.16898889834768002,0.11522172522860673,1.4050629467488593,-98.5662813665454,-8.3661664747457,-8.654131650459934
20.jpg,1,67.9651691639734,0.5595700344422404,0.16399813984276018,0.008977026845095493,0.04761538300542259,4.217341289651034,0.9035539686670115,0.16015814812508894,0.11334952168154654,1.4027746574214932,-98.53376389440552,-8.573725079135523,-8.340039209341679
21.jpg,1,68.74002483667405,0.5603714303118454,0.17145629270728635,0.007892672171241016,0.046238133710177196,4.335429786431458,0.8719307742449164,0.16966310650158012,0.11416560331628323,1.409255724887512,-99.02835298373442,-8.821180754487754,-8.577574921246239
